motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M10130_2.00	T034298_3.10	M10130_3.10	I	MSGN1	TF_Information_all_motifs_plus.txt	0		OK
M10133_2.00	T034250_3.10	M10133_3.10	I	TCF3	TF_Information_all_motifs_plus.txt	2	T034292_3.10;T034340_3.10	AMBIGUOUS
M10134_2.00	T034285_3.10	M10134_3.10	I	ARNTL	TF_Information_all_motifs_plus.txt	0		OK
M10137_2.00	T034315_3.10	M10137_3.10	I	ATOH1	TF_Information_all_motifs_plus.txt	0		OK
M10138_2.00	T059769_3.10	M10138_3.10	I	CEBPD	TF_Information_all_motifs_plus.txt	0		OK
M10139_2.00	T059721_3.10	M10139_3.10	D	FOSL2	TF_Information.txt	0		OK
M10151_2.00	T059736_3.10	M10151_3.10	D	NFE2	TF_Information.txt	3	T059719_3.10;T059722_3.10;T059732_3.10	AMBIGUOUS
M10186_2.00	T059721_3.10	M10186_3.10	I	FOSL2	TF_Information_all_motifs_plus.txt	3	T059738_3.10;T059755_3.10;T059759_3.10	AMBIGUOUS
M10188_2.00	T059723_3.10	M10188_3.10	I	CEBPE	TF_Information_all_motifs_plus.txt	2	T059757_3.10;T059770_3.10	AMBIGUOUS
M10197_2.00	T059740_3.10	M10197_3.10	I	NRL	TF_Information_all_motifs_plus.txt	5	T059761_3.10;T059763_3.10;T059765_3.10;T059766_3.10;T059767_3.10	AMBIGUOUS
M10203_2.00	T059724_3.10	M10203_3.10	I	CREM	TF_Information_all_motifs_plus.txt	2	T059734_3.10;T059735_3.10	AMBIGUOUS
M10216_2.00	T094804_3.10	M10216_3.10	D	ZNF324	TF_Information.txt	1	T095466_3.10	AMBIGUOUS
M10226_2.00	T094828_3.10	M10226_3.10	D	KLF5	TF_Information.txt	8	T094796_3.10;T094827_3.10;T094840_3.10;T094848_3.10;T094864_3.10;T094867_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M10229_2.00	T094840_3.10	M10229_3.10	D	KLF1	TF_Information.txt	8	T094796_3.10;T094827_3.10;T094828_3.10;T094848_3.10;T094864_3.10;T094867_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M10235_2.00	T094856_3.10	M10235_3.10	D	BCL6	TF_Information.txt	0		OK
M10247_2.00	T094907_3.10	M10247_3.10	D	FEZF1	TF_Information.txt	1	T094982_3.10	AMBIGUOUS
M10248_2.00	T094914_3.10	M10248_3.10	D	ZNF317	TF_Information.txt	0		OK
M10279_2.00	T095124_3.10	M10279_3.10	D	ZNF680	TF_Information.txt	0		OK
M10282_2.00	T095155_3.10	M10282_3.10	D	HIC1	TF_Information.txt	0		OK
M10294_2.00	T095216_3.10	M10294_3.10	D	ZNF320	TF_Information.txt	0		OK
M10300_2.00	T095271_3.10	M10300_3.10	D	MTF1	TF_Information.txt	0		OK
M10301_2.00	T095272_3.10	M10301_3.10	D	ZNF563	TF_Information.txt	0		OK
M10302_2.00	T095285_3.10	M10302_3.10	D	ZNF250	TF_Information.txt	0		OK
M10303_2.00	T095299_3.10	M10303_3.10	D	ZNF140	TF_Information.txt	0		OK
M10306_2.00	T095317_3.10	M10306_3.10	D	ZNF418	TF_Information.txt	0		OK
M10307_2.00	T095321_3.10	M10307_3.10	D	ZFP28	TF_Information.txt	0		OK
M10366_2.00	T094796_3.10	M10366_3.10	I	KLF6	TF_Information_all_motifs_plus.txt	7	T094828_3.10;T094840_3.10;T094848_3.10;T094864_3.10;T094867_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M10367_2.00	T095027_3.10	M10367_3.10	I	SP8	TF_Information_all_motifs_plus.txt	2	T095090_3.10;T095444_3.10	AMBIGUOUS
M10368_2.00	T094793_3.10	M10368_3.10	I	ZNF76	TF_Information_all_motifs_plus.txt	1	T095041_3.10	AMBIGUOUS
M10369_2.00	T094786_3.10	M10369_3.10	I	ZIC2	TF_Information_all_motifs_plus.txt	3	T094981_3.10;T094989_3.10;T095137_3.10	AMBIGUOUS
